Date,Ticker,Action,Firm,To Grade,From Grade
2012-07-12,MMM,main,Citigroup,Neutral,
2012-07-16,MMM,up,Morgan Stanley,Overweight,Equal-Weight
2012-09-05,MMM,main,Citigroup,Neutral,
2012-09-10,MMM,main,JP Morgan,Neutral,
2012-09-24,MMM,main,Jefferies,Buy,
2012-10-24,MMM,main,Jefferies,Buy,
2012-10-24,MMM,main,Deutsche Bank,Hold,
2012-11-09,MMM,up,Nomura,Neutral,Reduce
2012-12-13,MMM,main,Deutsche Bank,Hold,
2012-12-14,MMM,main,JP Morgan,Neutral,
2013-01-03,MMM,main,Jefferies,Buy,
2013-01-11,MMM,down,JP Morgan,Underweight,Neutral
2013-01-25,MMM,main,Deutsche Bank,Hold,
2013-01-25,MMM,main,Credit Suisse,Neutral,
2013-01-29,MMM,main,UBS,Buy,
2013-03-06,MMM,init,Tigress Financial,Buy,
2013-03-18,MMM,main,Morgan Stanley,Overweight,
2013-03-18,MMM,main,Citigroup,Neutral,
2013-06-07,MMM,main,Jefferies,Buy,
2013-06-10,MMM,main,Jefferies,Buy,
2013-07-01,MMM,down,Morgan Stanley,Equal-Weight,Overweight
2013-07-26,MMM,main,Nomura,Neutral,
2013-08-05,MMM,main,Deutsche Bank,Hold,
2013-10-25,MMM,main,FBR Capital,Outperform,
2013-10-25,MMM,main,Nomura,Neutral,
2013-12-02,MMM,down,Morgan Stanley,Underweight,Equal-weight
2013-12-11,MMM,up,Nomura,Buy,Neutral
2013-12-18,MMM,main,Barclays,Equal-Weight,
2013-12-18,MMM,main,Citigroup,Neutral,
2013-12-18,MMM,main,Bank of America,Buy,
2013-12-19,MMM,main,Hilliard Lyons,Long-Term Buy,
2013-12-20,MMM,up,JP Morgan,Neutral,Underweight
2013-12-26,MMM,main,Ladenburg Thalmann,Hold,
2014-02-25,MMM,main,William Blair,Market Perform,
2014-02-25,MMM,main,Bernstein,Market Perform,
2014-04-25,MMM,main,Deutsche Bank,Hold,
2014-07-08,MMM,up,Argus Capital,Buy,Hold
2014-07-25,MMM,main,Citigroup,Neutral,
2014-07-25,MMM,main,Deutsche Bank,Hold,
2014-09-17,MMM,init,Stifel,Hold,
2014-10-02,MMM,main,Morgan Stanley,Underweight,
2014-10-06,MMM,main,Barclays,Equal-Weight,
2014-10-24,MMM,main,Credit Suisse,Neutral,
2014-11-25,MMM,init,RBC Capital,Underperform,
2014-12-17,MMM,main,Credit Suisse,Neutral,
2014-12-17,MMM,main,Bank of America,Buy,
2014-12-17,MMM,main,Morgan Stanley,Underweight,
2015-01-05,MMM,down,Hilliard Lyons,Neutral,Long-Term Buy
2015-01-12,MMM,main,Barclays,Equal-Weight,
2015-01-15,MMM,main,JP Morgan,Neutral,
2015-01-22,MMM,init,UBS,Buy,
2015-01-28,MMM,main,Barclays,Equal-Weight,
2015-01-29,MMM,main,Jefferies,Buy,
2015-03-17,MMM,main,Barclays,Equal-Weight,
2015-04-24,MMM,main,Barclays,Equal-Weight,
2015-06-24,MMM,main,Deutsche Bank,Hold,
2015-09-25,MMM,up,Credit Suisse,Outperform,Neutral
2015-10-05,MMM,main,Barclays,Equal-Weight,
2015-10-23,MMM,main,Barclays,Equal-Weight,
2015-12-16,MMM,main,Credit Suisse,Outperform,
2016-01-21,MMM,init,Citigroup,Buy,
2016-01-28,MMM,main,Deutsche Bank,Hold,
2016-03-14,MMM,main,Credit Suisse,Outperform,
2016-03-15,MMM,main,Credit Suisse,Outperform,
2016-03-30,MMM,main,Bernstein,Market Perform,
2016-03-30,MMM,main,UBS,Buy,
2016-03-30,MMM,main,Morgan Stanley,Underweight,
2016-04-12,MMM,main,Jefferies,Buy,
2016-04-19,MMM,main,Citigroup,Buy,
2016-10-24,MMM,up,Barclays,Overweight,Equal-Weight
2016-11-21,MMM,down,Goldman Sachs,Sell,Neutral
2016-11-23,MMM,main,Jefferies,Buy,
2016-12-07,MMM,up,RBC Capital,Sector Perform,Underperform
2017-07-10,MMM,main,Morgan Stanley,Underweight,
2017-07-26,MMM,main,Citigroup,Buy,
2017-07-26,MMM,main,Morgan Stanley,Underweight,
2017-09-20,MMM,down,JP Morgan,Underweight,Neutral
2017-10-02,MMM,main,Morgan Stanley,Underweight,
2017-10-09,MMM,main,Citigroup,Buy,
2017-10-10,MMM,main,Citigroup,Buy,
2017-10-25,MMM,main,Citigroup,Buy,
2017-10-25,MMM,main,Credit Suisse,Outperform,
2017-10-25,MMM,main,Bank of America,Buy,
2017-10-25,MMM,main,Argus,Buy,
2017-10-25,MMM,up,Goldman Sachs,Neutral,Sell
2017-10-25,MMM,main,Stifel Nicolaus,Hold,
2018-01-23,MMM,init,UBS,Neutral,
2018-01-24,MMM,up,Hilliard Lyons,Buy,Neutral
2018-01-26,MMM,main,UBS,Neutral,Neutral
2018-02-15,MMM,init,Barclays,Underweight,
2018-03-26,MMM,main,Barclays,Underweight,Underweight
2018-04-03,MMM,main,Stifel Nicolaus,Hold,Hold
2018-04-25,MMM,main,Barclays,Underweight,Underweight
2018-04-25,MMM,main,Argus,Buy,Buy
2018-04-25,MMM,main,Stifel Nicolaus,Hold,Hold
2018-04-26,MMM,main,JP Morgan,Underweight,Underweight
2018-04-26,MMM,main,UBS,Neutral,Neutral
2018-05-03,MMM,up,RBC Capital,Outperform,Sector Perform
2018-05-16,MMM,down,Jefferies,Hold,Buy
2018-07-25,MMM,main,Barclays,Underweight,Underweight
2018-08-21,MMM,init,Morgan Stanley,Equal-Weight,
2018-08-30,MMM,main,UBS,Neutral,Neutral
2018-09-28,MMM,main,Deutsche Bank,Hold,Hold
2018-10-12,MMM,init,Credit Suisse,Outperform,
2018-10-24,MMM,main,Credit Suisse,Outperform,Outperform
2018-10-24,MMM,main,UBS,Neutral,Neutral
2018-10-24,MMM,main,Barclays,Underweight,Underweight
2018-10-24,MMM,main,Citigroup,Buy,Buy
2018-10-24,MMM,main,Argus,Buy,Buy
2018-11-16,MMM,main,Deutsche Bank,Hold,Hold
2018-11-19,MMM,main,Barclays,Underweight,Underweight
2019-01-03,MMM,main,Barclays,Underweight,Underweight
2019-03-22,MMM,main,Morgan Stanley,Equal-Weight,Equal-Weight
2019-04-03,MMM,main,Barclays,Underweight,Underweight
2019-04-26,MMM,down,Argus,Hold,Buy
2019-04-26,MMM,main,Deutsche Bank,Hold,Hold
2019-04-29,MMM,down,Gordon Haskett,Hold,Buy
2019-05-24,MMM,main,Morgan Stanley,Equal-Weight,
2019-06-27,MMM,main,Bank of America,Neutral,
2019-07-09,MMM,down,RBC Capital,Sector Perform,Outperform
2019-07-12,MMM,main,UBS,Neutral,
2019-07-26,MMM,main,Credit Suisse,Outperform,
2019-07-29,MMM,main,Morgan Stanley,Equal-Weight,
2019-08-06,MMM,main,JP Morgan,Underweight,
2019-09-27,MMM,main,Morgan Stanley,Equal-Weight,
2019-10-10,MMM,main,JP Morgan,Underweight,
2019-10-15,MMM,main,Citigroup,Buy,
2019-10-25,MMM,main,Morgan Stanley,Equal-Weight,
2019-10-28,MMM,main,Barclays,Underweight,
2019-12-04,MMM,main,Deutsche Bank,Hold,
2019-12-09,MMM,down,Citigroup,Neutral,Buy
2019-12-23,MMM,up,JP Morgan,Neutral,Underweight
2020-01-09,MMM,up,Wolfe Research,Peer Perform,Underperform
2020-01-29,MMM,main,Citigroup,Neutral,
2020-01-29,MMM,main,Morgan Stanley,Equal-Weight,
2020-03-17,MMM,main,Morgan Stanley,Equal-Weight,
2020-03-27,MMM,main,Goldman Sachs,Neutral,
2020-03-30,MMM,down,Gordon Haskett,Underperform,Hold
2020-04-01,MMM,main,Citigroup,Neutral,
2020-04-09,MMM,main,Deutsche Bank,Hold,
2020-04-29,MMM,main,Credit Suisse,Outperform,
2020-04-29,MMM,main,Deutsche Bank,Hold,
2020-04-29,MMM,main,Barclays,Underweight,
2020-04-29,MMM,main,B of A Securities,Neutral,
2020-04-29,MMM,main,Citigroup,Neutral,
2020-05-01,MMM,main,Morgan Stanley,Equal-Weight,
2020-07-07,MMM,main,Barclays,Underweight,
2020-07-29,MMM,main,Credit Suisse,Outperform,
2020-07-29,MMM,main,Morgan Stanley,Equal-Weight,
2020-07-29,MMM,main,Barclays,Underweight,
2020-09-16,MMM,main,Credit Suisse,Outperform,
2020-10-07,MMM,up,Gordon Haskett,Hold,Underperform
2020-10-13,MMM,main,Morgan Stanley,Equal-Weight,
2012-03-01,ABT,main,UBS,Buy,
2012-03-08,ABT,main,Jefferies,Buy,
2012-03-19,ABT,up,Deutsche Bank,Buy,
2012-03-19,ABT,main,UBS,Buy,
2012-03-21,ABT,main,Credit Suisse,Neutral,
2012-03-29,ABT,main,JP Morgan,Neutral,
2012-04-05,ABT,main,Bank oferica,Neutral,
2012-04-19,ABT,main,Citigroup,Sell,
2012-06-06,ABT,main,JP Morgan,Neutral,
2012-07-13,ABT,main,Jefferies,Buy,
2012-07-19,ABT,main,UBS,Buy,
2012-07-19,ABT,main,Citigroup,Sell,
2012-09-14,ABT,main,UBS,Buy,
2012-09-19,ABT,main,Jefferies,Buy,
2012-10-15,ABT,main,Barclays,Equal-Weight,
2012-10-18,ABT,down,Raymond James,Market Perform,Outperform
2012-10-18,ABT,main,JP Morgan,Neutral,
2012-10-18,ABT,main,Jefferies,Buy,
2012-12-20,ABT,init,William Blair,Outperform,
2013-01-04,ABT,down,Deutsche Bank,Hold,Buy
2013-01-11,ABT,main,UBS,Buy,
2013-01-16,ABT,main,Jefferies,Buy,
2013-02-05,ABT,main,Jefferies,Buy,
2013-02-14,ABT,init,Stifel Nicolaus,Buy,
2013-02-15,ABT,init,Stifel Nicolaus,Buy,
2013-04-10,ABT,main,Jefferies,Buy,
2013-04-12,ABT,main,Deutsche Bank,Hold,
2013-04-12,ABT,init,Credit Suisse,Neutral,
2013-04-18,ABT,main,Stifel Nicolaus,Buy,
2013-04-19,ABT,main,Jefferies,Buy,
2013-05-20,ABT,up,Goldman Sachs,Buy,Neutral
2013-05-21,ABT,init,Gabelli & Co.,Buy,
2013-05-28,ABT,main,Jefferies,Buy,
2013-06-07,ABT,main,Jefferies,Buy,
2014-01-06,ABT,up,Morgan Stanley,Overweight,Equal-weight
2014-01-17,ABT,up,Morgan Stanley,Overweight,Equal-Weight
2014-01-23,ABT,main,Stifel Nicolaus,Buy,
2014-04-14,ABT,main,Jefferies,Buy,
2014-04-17,ABT,main,Leerink Swann,Market Perform,
2014-04-21,ABT,main,Citigroup,Sell,
2014-05-19,ABT,up,Credit Suisse,Outperform,Neutral
2014-07-14,ABT,main,Jefferies,Buy,
2014-07-17,ABT,main,Raymond James,Outperform,
2014-07-17,ABT,main,Barclays,Equal-Weight,
2014-10-29,ABT,up,Deutsche Bank,Buy,Hold
2014-12-04,ABT,main,Jefferies,Buy,
2015-01-13,ABT,down,Jefferies,,Buy
2015-01-15,ABT,main,Jefferies,Hold,
2015-01-30,ABT,main,Stifel Nicolaus,Buy,
2015-01-30,ABT,main,Barclays,Equal-Weight,
2015-02-20,ABT,main,Jefferies,Hold,
2015-03-10,ABT,main,Jefferies,Hold,
2015-04-23,ABT,main,JP Morgan,Neutral,
2015-04-23,ABT,main,Barclays,Equal-Weight,
2015-05-21,ABT,main,Jefferies,Hold,
2015-05-26,ABT,init,Evercore ISI Group,Buy,
2015-05-27,ABT,init,Evercore ISI Group,Buy,
2015-06-04,ABT,init,BTIG Research,Buy,
2015-07-23,ABT,main,BMO Capital,Outperform,
2015-07-23,ABT,main,Leerink Swann,Market Perform,
2015-07-23,ABT,main,Barclays,Equal-Weight,
